Gene,SRR5886303,SRR5886304,SRR5886305,SRR5886306
AGAP12P,11,17,15,10
AGAP2,16,4,9,6
AGAP2-AS1,33,12,113,103
AGAP3,481,174,780,633
AGAP4,25,14,33,19
AGAP5,1,0,0,4
AGAP6,30,34,25,41
AGAP7P,6,13,8,2
AGAP9,0,0,0,0
AGBL1,0,0,0,0
AGBL1-AS1,0,0,0,0
AGBL2,6,8,4,1
AGBL3,91,91,43,60
AGBL4,0,0,0,1
AGBL4-AS1,0,0,0,0
AGBL4-IT1,0,0,0,0
AGBL5,1026,541,1191,841
AGBL5-AS1,0,0,0,0
AGER,14,7,60,35
AGFG1,3842,3239,3686,3158
AGFG2,335,134,489,445
AGGF1,2261,2180,1540,1113
AGK,1739,1355,1478,1062
AGL,1739,1872,1731,1438
AGMAT,190,161,256,211
AGMO,0,0,0,0
AGO1,2010,1496,2468,1941
AGO2,13746,10266,11093,10493
AGO3,2339,2310,1748,1424
AGO4,461,352,243,181
AGPAT1,1574,885,1305,1073
AGPAT2,171,29,356,393
AGPAT3,363,212,419,316
AGPAT4,404,261,196,154
AGPAT4-IT1,24,18,24,5
AGPAT5,3649,3593,3449,2709
AGPS,8749,9504,5791,4501
AGR2,0,0,7,4
AGR3,0,0,0,0
AGRN,883,147,1154,1395
AGRP,0,0,0,0
AGT,46,11,194,164
AGTPBP1,3941,3977,2560,1780
AGTR1,2,3,0,0
AGTR2,0,0,0,0
AGTRAP,485,108,817,672
AGXT,0,0,0,1
AGXT2,0,0,0,0
AHCTF1,9466,9439,8860,6836
AHCTF1P1,2825,2921,2713,2099
AHCY,7738,4760,8271,6132
AHCYL1,8232,6887,6275,4944
AHCYL2,699,576,462,350
AHDC1,82,31,258,301
AHI1,2466,2723,1766,1349
AHNAK,85181,60380,60478,50442
AHNAK2,1163,582,2299,2382
AHR,13384,12943,4906,3828
AHRR,576,301,396,347
AHSA1,5297,3903,7310,5344
AHSA2P,1345,1056,1192,932
AHSG,0,0,0,0
AHSP,0,0,0,0
AICDA,0,0,0,0
AIDA,547,690,340,298
AIF1,0,0,0,0
AIF1L,815,550,1296,942
AIFM1,2415,1890,2202,1706
AIFM2,458,242,608,546
AIFM3,1,0,2,2
AIG1,1076,870,683,535
AIM2,24,14,0,1
AIMP1,2934,3363,2716,2007
AIMP2,2768,1716,2858,2005
AIP,636,137,753,618
AIPL1,0,0,0,0
AIRE,0,0,1,0
AIRN,1,0,0,0
AJAP1,0,0,0,0
AJM1,0,0,0,1
AJUBA,6826,5695,3277,2355
AK1,492,150,815,648
AK2,12117,9699,10522,7924
AK3,3889,3648,2072,1756
AK4,4433,3901,3471,2659
AK5,5,7,3,0
AK6,1761,1848,1291,1059
AK7,2,16,12,9
AK8,8,1,0,2
AK9,52,77,52,44
AKAIN1,0,0,0,0
AKAP1,1485,884,1879,1444
AKAP10,2162,2045,1709,1431
AKAP11,2264,2286,1767,1522
AKAP12,13122,11353,16319,12202
AKAP13,7585,5647,6863,5744
AKAP14,0,0,2,0
AKAP17A,675,444,732,593
AKAP3,4,3,9,3
AKAP4,0,0,0,0
AKAP5,141,158,90,68
AKAP6,201,159,119,84
AKAP7,182,176,125,110
AKAP8,1037,706,1438,1075
AKAP8L,1468,803,1818,1324
AKAP9,9029,10024,5687,4526
AKIP1,843,529,589,477
AKIRIN1,2938,2859,2291,1727
AKIRIN2,851,836,418,370
AKNA,408,157,106,83
AKNAD1,18,13,48,10
AKR1A1,1072,516,1397,1116
AKR1B1,8752,5236,4045,3093
AKR1B10,21,18,107,90
AKR1B15,12,3,22,21
AKR1C1,3,2,78,58
AKR1C2,8,5,308,265
AKR1C3,95,39,1305,966
AKR1C4,0,0,0,0
AKR1C6P,0,0,0,0
AKR1C8P,1,0,0,0
AKR1D1,0,0,0,0
AKR1E2,1,0,0,0
AKR7A2,1007,506,1169,1004
AKR7A2P1,0,0,2,0
AKR7A3,6,5,21,8
AKR7L,2,11,22,35
AKT1,1490,440,2037,1638
AKT1S1,364,146,448,380
AKT2,1608,520,2213,1712
AKT3,49,28,45,23
AKTIP,173,150,201,155
ALAD,336,202,296,237
ALAS1,1985,1200,2913,2274
ALAS2,0,0,0,0
ALB,0,0,0,0
ALCAM,7172,7488,4920,3843
ALDH16A1,129,48,176,173
ALDH18A1,5469,3880,6810,4715
ALDH1A1,1,0,1,1
ALDH1A2,0,1,1,1
ALDH1A3,739,594,696,509
ALDH1B1,1821,1148,2507,1824
ALDH1L1,0,0,0,0
ALDH1L1-AS1,0,0,0,0
ALDH1L1-AS2,1,4,0,0
ALDH1L2,1241,1239,344,313
ALDH2,47,15,173,129
ALDH3A1,0,0,76,65
ALDH3A2,3188,2834,4054,2961
ALDH3B1,209,98,519,427
ALDH3B2,0,0,0,0
ALDH4A1,114,36,137,165
ALDH5A1,256,237,785,678
ALDH6A1,1019,893,488,435
ALDH7A1,1928,1724,1560,1264
ALDH8A1,3,2,0,2
ALDH9A1,3741,2987,3478,2579
ALDOA,494,175,992,1088
ALDOB,0,0,0,0
ALDOC,799,337,591,477
ALG1,871,483,1620,1350
ALG10,1349,1472,916,877
ALG10B,2905,3404,2229,2155
ALG11,214,216,256,166
ALG12,141,66,229,212
ALG13,2486,2491,1626,1377
ALG14,530,409,573,473
ALG14-AS1,0,0,0,0
ALG1L,0,0,0,0
ALG1L2,0,0,0,0
ALG1L9P,5,3,4,11
ALG2,1486,1296,1234,923
ALG3,1686,739,2656,2131
ALG5,996,1000,970,693
ALG6,626,605,619,482
ALG8,2333,2193,2982,2220
ALG9,961,870,845,620
ALK,2,5,0,0
ALKAL1,2,0,0,0
ALKAL2,17,4,4,1
ALKBH1,614,516,686,589
ALKBH2,596,313,641,527
ALKBH3,1001,675,781,544
ALKBH3-AS1,0,0,0,0
ALKBH4,148,108,233,200
ALKBH5,3804,2046,3350,2766
ALKBH6,177,76,175,108
ALKBH7,22,6,64,77
ALKBH8,782,773,629,420
ALLC,0,0,0,0
ALMS1,6785,5950,4526,3657
ALMS1-IT1,124,129,92,59
ALMS1P1,13,10,0,1
ALOX12,0,0,0,0
ALOX12-AS1,51,22,28,27
ALOX12B,1,0,8,3
ALOX12P2,0,0,0,0
ALOX15,0,0,2,0
ALOX15B,2,0,2,0
