Gene,Normalized_count.SRR5886303,Normalized_count.SRR5886304,Normalized_count.SRR5886305,Normalized_count.SRR5886306
MRPL33,1541.13391992758,2125.46609822895,1038.25311252619,986.82750365332
MRPL34,561.845807103376,503.171566111342,743.054486201206,764.558572995555
MRPL35,2204.22815903481,2666.59241609438,1988.22252372155,1829.35475913092
MRPL36,1967.70518263236,1858.69841447164,2332.16111015626,2216.87074818346
MRPL37,3204.263901368,2673.09894496651,3843.09987355797,3673.83777008671
MRPL38,370.137710440333,143.143635186847,684.198685313982,644.6962700754
MRPL39,1158.54763178185,1693.86634971103,1533.00968873442,1275.42800000476
MRPL4,402.504012474354,111.695412304889,841.454028309535,915.841091244295
MRPL40,1532.83486812398,1423.84540151766,1838.3241558369,1843.31929927696
MRPL41,133.614734037878,40.1235947114648,247.378288104115,251.361722628676
MRPL42,4102.22130651697,5858.04482787386,3674.80906789607,3940.32774454026
MRPL42P5,4.14952590179746,7.59095035081766,5.51773133317728,1.16371167883646
MRPL43,741.105326061026,659.328259042449,1049.28857519255,930.969343069169
MRPL44,618.279359367822,724.393547763743,761.446923978464,762.231149637883
MRPL45,1334.48753001806,1431.43635186847,1589.10662395506,1391.79916788841
MRPL45P2,179.25951895765,268.936526714683,191.281352883479,203.649543796381
MRPL46,812.477171571943,767.770406911272,1060.3240378589,977.517810222628
MRPL47,2947.82320063692,3638.23406099904,2810.36449236496,2732.39502190801
MRPL48,1836.58016413556,2114.62188344206,2025.92702116492,1992.27439416802
MRPL49,2400.08578159965,1613.6191602881,2683.45667170188,2467.0687591333
MRPL50,1259.79606378571,1635.30758986186,1463.11842518084,1373.17978102702
MRPL51,3847.4404161466,4291.05579116936,4433.49712620794,3835.59369344498
MRPL52,784.26039543972,606.191606586725,922.380754529468,857.655507302472
MRPL53,209.136105450592,147.4813211016,330.144258101774,295.582766424461
MRPL54,350.219986111706,135.55268483603,745.813351867795,685.426178834676
MRPL55,154.362363546865,34.7014873180236,239.101691104349,272.308532847732
MRPL57,644.836325139325,760.179456560455,776.16087420027,704.045565696059
MRPL58,532.799125790794,519.437888291666,609.709312316089,563.236452556848
MRPL9,2052.35551102902,2088.59576795355,2619.08313948148,2443.79452555657
MRPS10,3471.49336944375,4201.04880843823,2876.57726836309,2680.02799636037
MRPS11,961.860104036651,699.451853753913,1109.06399796863,1161.38425547879
MRPS12,550.227134578343,351.352559094989,1009.74483397144,936.787901463352
MRPS14,598.361635039194,621.37350728836,800.071043310705,788.996518251121
MRPS15,2186.80015024726,2240.4147749699,2846.22974603061,2687.01026643339
MRPS16,3823.37316591618,4335.51707179557,3468.81376479078,3334.03395986646
MRPS17,1075.5571137459,1305.64346034064,1114.58172930181,1025.22998905492
MRPS18A,1108.75332096028,511.846937940848,1457.60069384766,1365.03379927517
MRPS18B,3259.03764327173,2509.35130168458,4286.35762398988,3770.42583943014
MRPS18C,1081.36645000842,1263.3510226718,1091.59118208024,1045.01308759514
MRPS2,1029.08242364577,537.873053429366,1892.58184727981,1773.49659854677
MRPS21,2595.94340416449,2287.04489855349,2498.61267204044,2268.07406205226
MRPS22,2674.78439629864,2949.62642203201,2886.69310914058,2638.13437592226
MRPS23,1386.77155638071,1495.41721911108,1606.57943984345,1487.223525553
MRPS24,2.48971554107848,0,0.919621888862879,11.6371167883646
MRPS25,2440.75113543727,2461.6367566223,3549.74049101071,3391.05583212945
MRPS26,704.589498125209,407.742475986777,1169.75904263358,1047.34051095282
MRPS27,3515.47834400281,3543.88939235316,4732.37424008838,4461.67057665899
MRPS28,801.688404227269,1034.53809066858,1007.90559019372,968.208116791936
MRPS30,2526.23136901429,3209.88757691718,2974.97681047141,3178.09659490238
MRPS30-DT,2.48971554107848,0,9.19621888862879,9.30969343069169
MRPS31,623.258790449978,727.646812199808,672.243600758765,559.745317520338
MRPS31P5,155.192268727225,178.929543983559,147.139502218061,101.242916058772
MRPS33,293.78643384726,391.476153806454,356.813292878797,261.835127738204
MRPS34,609.980307564227,373.040988668754,1574.39267373325,1651.30687226894
MRPS35,3468.17374872232,4427.69289748408,4332.33871843302,4153.28698176733
MRPS36,552.716850119422,726.562390721119,627.182128204484,576.037281024049
MRPS5,2371.86900546743,2383.55841015675,2640.23444292533,2455.43164234493
MRPS6,787.580016161158,1039.96019806202,781.678605533447,741.284339418826
MRPS7,1160.20744214257,911.998463576808,1671.87259395271,1469.76785037045
MRPS9,1876.41561279281,2140.64799893058,2094.89866282964,1861.93868613834
MRPS9-AS1,1.65981036071898,0,0.919621888862879,0
MRPS9-AS2,0,0,0,0
MRRF,2574.36586947514,2663.33915165831,2984.17302936004,2950.00910585043
MRS2,1849.85864702131,2277.2851052453,1907.29579750161,2002.74779927755
MRS2P2,0,1.08442147868824,0,2.32742335767292
MRTFA,432.380598967295,260.261154885177,434.981153432142,544.617065695464
MRTFA-AS1,0,2.16884295737648,0,0
MRTFB,1019.95346666182,889.225612524355,1371.15623629455,1692.03678102822
MRTO4,3250.73859146813,2921.43146358611,4189.79732565928,3897.27041242331
MRVI1,0.829905180359492,0,1.83924377772576,1.16371167883646
MRVI1-AS1,0,0,0,0
MS4A1,0,0,0,0
MS4A10,0,0,0,0
MS4A12,0,0,0,0
MS4A13,0,0,0,0
MS4A14,0,0,0,0
MS4A15,0,0,0,0
MS4A18,0,0,0,0
MS4A2,0,0,0,0
MS4A3,0,0,0,0
MS4A4A,6.63924144287594,6.50652887212943,0,0
MS4A4E,0,0,0,0
MS4A5,0,0,0,0
MS4A6A,0,0,0,0
MS4A6E,0,0,0,0
MS4A7,0,0,0,0
MS4A8,0,0,0,0
MSANTD1,1.65981036071898,1.08442147868824,0.919621888862879,3.49113503650939
MSANTD2,322.833115159842,344.84603022286,251.056775659566,258.343992701695
MSANTD3,990.906785349233,1347.93589800948,848.811003420438,733.138357666971
